"customer_id","first_name","last_name","credit_score","total_account_balance","total_loan_amount","loan_to_balance_ratio","overall_risk_category"
"CUSI0KQ0HSXQK7M","Makayla","Valenzuela",323,3050.45,384828.17,126.1545575242996935,"High risk"
"CUS6BYK8ZG0DHOJ","Vanessa","Horton",496,25387.39,205806.45,8.1066407377836004,"High risk"
"CUSS1FG77SP0XJE","Margaret","Collins",305,10051.61,79146.49,7.8740112280520235,"High risk"
"CUS18X8UPFRATWU","Brandon","Hill",499,68929.17,594657.66,8.6270828446070075,"High risk"
"CUSGODLHPNFTHTV","George","Lee",466,27086.43,537670.14,19.8501663009854012,"High risk"
"CUSUQM0CVIZOSWC","Mark","Montgomery",365,31649.60,251953.10,7.9607040847277691,"High risk"
"CUSGY1RFZ1HOXTQ","Monica","Williams",436,9666.63,224721.37,23.2471264546175865,"High risk"
"CUS0TZXQ5EFKSVB","Jennifer","Vazquez",348,10905.95,107734.52,9.8785085205782165,"High risk"
"CUSS4S8VD9R5PD1","Molly","Ritter",310,1907.23,287657.30,150.8246514578734605,"High risk"
"CUST1EZITWBYQ13","Michelle","Miller",305,51378.43,348085.95,6.7749432981895321,"High risk"
"CUS6PODT54PBWGU","Zachary","Thompson",366,3708.04,204001.24,55.0159221583370190,"High risk"
"CUSODFWSZEJEIS4","Tiffany","Molina",518,10817.94,129493.86,11.9702882434178781,"High risk"
"CUS70ZYJ4UB1KBR","Caleb","Pham",543,65891.07,361137.37,5.4808241845215141,"High risk"
"CUS83EUL03TYMRH","Felicia","Johnson",391,29800.14,203444.60,6.8269679269963161,"High risk"
"CUSFTBJUC3F252B","Mary","Martin",414,13064.86,496440.85,37.9981760233175097,"High risk"
"CUSUUB9DJPMT8SY","Jeffrey","West",395,55624.76,295274.38,5.3083263640148740,"High risk"
"CUS8ZX97LHTQGU7","Lauren","Smith",361,54066.08,351516.85,6.5016152456401500,"High risk"
"CUSS1QV1TSU8AFI","Caleb","Thomas",409,25788.04,202910.10,7.8683800707614848,"High risk"
"CUS3J444NCP3O51","Jasmine","Compton",439,7867.78,335849.00,42.6866282483750181,"High risk"
"CUSJT5MCY28N3CQ","Maria","Anderson",443,32618.06,208139.77,6.3811204590340443,"High risk"
"CUSLQYDIU6VD8FV","Troy","Jackson",440,36776.00,420149.21,11.4245488905808136,"High risk"
"CUSG1RTHLNVNHE0","Christopher","Harris",347,51843.78,262145.11,5.0564428365369963,"High risk"
"CUS7JVF1R3W3FKP","Angela","Austin",538,29839.62,229593.44,7.6942481171006869,"High risk"
"CUSE51VHBCQX9X6","Michaela","Jennings",465,32993.96,199776.23,6.0549333878079503,"High risk"
"CUS6JWQ2FUKAQ38","Jeffery","Mercer",441,37869.37,444337.98,11.7334399806492688,"High risk"
"CUSBOZEHGV6747D","Victoria","Schneider",301,14657.67,93682.46,6.3913609734698625,"High risk"
"CUS3HM82QSBLW4H","Sarah","Wallace",373,10399.29,212299.74,20.4148302432185274,"High risk"
"CUSRV9HZNPA4UEH","Heather","Weaver",304,69505.23,510741.33,7.3482431465948678,"High risk"
"CUSXF4KEP2WUL1E","Mark","Johnson",415,53261.07,274276.02,5.1496528327350540,"High risk"
"CUSE7PDJU7I1M4F","Amanda","Thomas",455,70518.19,355135.96,5.0360901208610147,"High risk"
"CUS03C4DAKRHL2N","Angela","Mccoy",492,23146.98,139334.80,6.0195671314357208,"High risk"
"CUSP186RA9GXCG2","David","Bryant",461,63795.68,359310.65,5.6322097358316425,"High risk"
"CUSY9JSLFPVNI8P","Patricia","Ward",409,79125.72,602205.25,7.6107395926381460,"High risk"
"CUSQVS8A0TPV726","Eric","Kennedy",477,5808.32,270256.60,46.5292201531596055,"High risk"
"CUS5B40ZNTXQYMX","Gabriella","Blackwell",480,48950.06,255931.50,5.2284205576050366,"High risk"
"CUSA6OTMJYJIYB3","Lisa","Burch",469,99270.85,554000.46,5.5806962466826868,"High risk"
"CUS55TCUOVUAK4Q","Chelsea","Joseph",482,35977.20,218629.25,6.0768834150517550,"High risk"
"CUSZZ67SRD2DE9Q","Alyssa","Brown",546,20777.57,246369.90,11.8574934412445729,"High risk"
"CUSG1W4Z0DEN3C2","Mikayla","Miller",515,13283.40,360835.78,27.1644142312962043,"High risk"
"CUS9PDZHRJ628GM","Suzanne","Cabrera",464,13014.71,275204.32,21.1456359765219509,"High risk"
"CUSJE2XE0JDCZ1O","Joseph","Brown",315,18650.86,301226.99,16.1508364761732167,"High risk"
"CUSPK633OBFVGGL","Ryan","Smith",449,34355.73,205110.21,5.9701892522732016,"High risk"
"CUSRGDQAP7VV8EK","Christopher","Kennedy",537,14714.40,391065.25,26.5770435763605720,"High risk"
"CUSLIEGNPDWLFYQ","Erik","Watson",471,61670.88,570044.48,9.2433329960590801,"High risk"
"CUSVZR5OCX7ENTN","Gary","Henry",441,27690.00,292681.87,10.5699483568075117,"High risk"
"CUSG07IOMSCQX70","Sandra","Love",408,16179.62,266100.19,16.4466279183318273,"High risk"
"CUSMVPW4BBGI627","Lori","Khan",459,48041.17,464615.21,9.6711884827118074,"High risk"
"CUS7QDZD5ROVWXH","Kristy","Todd",520,11600.28,118945.42,10.2536680149099849,"High risk"
"CUS1V4P2N3TDZ5M","Samuel","Thompson",457,5115.38,174120.16,34.0385582302781025,"High risk"
"CUSH0TU675HFEYJ","Karina","Green",462,27554.73,268203.50,9.7334831442732337,"High risk"
"CUSP7S62CTMO46Q","James","Curtis",470,8680.89,44882.84,5.1703039665287776,"High risk"
"CUSRQLQ8KF9CPOB","Michelle","Browning",370,7216.79,46504.06,6.4438704742690310,"High risk"
"CUS702C6CFLL8VL","Jeffrey","Jenkins",479,39699.54,221541.20,5.5804475316338678,"High risk"
"CUSXFGB3MPLCY3A","Alejandra","Gonzalez",308,18471.41,274938.88,14.8845637663827504,"High risk"
"CUSXYHFV7XVNDSB","William","Roth",538,76104.41,416193.30,5.4687146250788883,"High risk"
"CUS81C1V9K7CWZQ","Dawn","Watts",361,39930.85,295113.13,7.3906047579753499,"High risk"
"CUSE98ELY5LJJ11","Lisa","Wolfe",391,27649.11,215523.31,7.7949456600953882,"High risk"
"CUSRBNVBFR73RHQ","Jennifer","Rodriguez",385,82804.58,495400.59,5.9827679821575087,"High risk"
"CUSI114N7CDXB82","Amanda","Castillo",381,39657.67,319113.41,8.0467009282189297,"High risk"
"CUSWU9L67PRJYFX","Michael","Singleton",470,36301.21,292560.73,8.0592556005708901,"High risk"
"CUSBT3YW7157EQZ","Latoya","Powell",313,127273.50,650509.59,5.1111157467972516,"High risk"
"CUS7WVLC5PBA00O","Joseph","Bradley",379,23906.68,211720.32,8.8561155292161019,"High risk"
"CUSBBFXSO45PJSC","Jennifer","Henson",493,39892.93,236945.16,5.9395276305851689,"High risk"
"CUSR23GAQV34IVX","Robert","Burke",491,36938.10,250593.17,6.7841380579943202,"High risk"
"CUS6BWBEM0TPI70","Kaitlin","Gonzalez",519,12797.94,204208.78,15.9563789172319920,"High risk"
"CUSKGNHAGXXKSF2","Brian","Donaldson",480,61271.41,402143.39,6.5633121548859411,"High risk"
"CUS9U8D0R0EJYDB","Erica","Cooper",437,17502.46,264403.54,15.1066501508930745,"High risk"
"CUSEFTSIYJ2GMP9","Robert","Hughes",417,31339.09,260809.77,8.3221870832879959,"High risk"
"CUS3LXCUHD7NBJ2","Kimberly","Jones",497,24370.69,180994.16,7.4267146313871294,"High risk"
"CUS2FR03N0TZ3E9","Daniel","Brown",333,15604.56,281465.02,18.0373570289710187,"High risk"
"CUSIVY7S4RO8DVZ","Vanessa","Hart",454,3003.61,36050.06,12.0022439664270661,"High risk"
"CUS5QQPONX0JVX8","Devon","Alvarado",363,50125.49,454338.93,9.0640296982632988,"High risk"
"CUS8VY157XB1SDA","Kimberly","Duncan",510,20066.94,159823.48,7.9645167623962597,"High risk"
"CUSYBLVYZUX5NZM","Michelle","Coffey",470,1559.53,181912.80,116.6459125505761351,"High risk"
"CUSAUHRIVCJCAKW","John","Singh",317,1156.72,234202.82,202.4714883463586693,"High risk"
"CUSKP5KG38P6PWZ","Michael","Miller",301,34039.41,228929.34,6.7254203289657488,"High risk"
"CUSFVDPTZRVX26H","Terrence","Noble",531,38783.95,295850.75,7.6281747991114881,"High risk"
"CUS5NHOEF2N58IM","Theresa","Salazar",495,32950.04,394510.87,11.9730012467359675,"High risk"
"CUS9QA8RKT6XJML","Kelly","Gardner",488,26261.25,284633.94,10.8385526203055833,"High risk"
"CUSFYKCK3Y41NJH","Donna","Shah",308,91393.63,598917.22,6.5531615277782489,"High risk"
"CUS1XQ6RD1QOZY0","Heather","Delgado",431,198.19,289930.08,1462.8895504314042081,"High risk"
"CUS0IPI5HDP0HRS","Carla","Edwards",361,80109.97,424573.26,5.2998804019025347,"High risk"
"CUS46LY1OGLNSAQ","John","Brown",395,29224.34,156429.70,5.3527196850296705,"High risk"
"CUSUPYFE53JENDX","Laura","Byrd",538,67193.49,354469.44,5.2753539070526029,"High risk"
"CUS7V30RQI7HOEN","Ashley","Atkinson",420,29535.86,171120.08,5.7936379709275437,"High risk"
"CUSJ0IRFXWC8MGT","Debra","Jensen",370,18230.84,256962.91,14.0949572263263788,"High risk"
"CUSZ89H7C6JF2IX","Kristen","Malone",437,47853.93,241303.29,5.0424968231449329,"High risk"
"CUSYZ84UUN1RQIT","Joseph","Dean",351,38958.05,305992.04,7.8543982565862511,"High risk"
"CUSO2DJR5LF7FTD","Michael","Meyers",365,39945.27,226970.31,5.6820321905447128,"High risk"
"CUST2EE5RZF6JGO","Christopher","Swanson",548,11098.86,166187.21,14.9733585251097861,"High risk"
"CUSQ36PFFYHJE4M","Carla","Edwards",338,4649.11,463995.56,99.8030934953141569,"High risk"
"CUS4EHXGYP3ZQU0","Barry","Richmond",341,37942.28,216519.65,5.7065534807080650,"High risk"
"CUSLU8BROEO5739","Ryan","Harris",488,22648.39,239277.22,10.5648666417347988,"High risk"
"CUSE1ENC0MYC9ES","Richard","Obrien",407,6500.04,181686.20,27.9515510673780469,"High risk"
"CUS63SM2MDE4F9W","Amber","Wise",497,30717.89,299067.29,9.7359320578333994,"High risk"
"CUSP3PXN71TBY08","Carol","Lamb",471,10117.87,69129.46,6.8324123555649559,"High risk"
"CUSJ9BWZLO23CZU","Scott","Jones",404,5721.52,286793.45,50.1253949999300885,"High risk"
"CUSRLBU68VIWPWQ","Kayla","Anderson",500,48747.07,246332.88,5.0532858692840411,"High risk"
"CUSW1Z5TRQA60ZD","Jessica","Christensen",412,64965.15,583456.95,8.9810760076748841,"High risk"
"CUSLSCM2VBMU5P8","Pamela","Thornton",327,24444.01,176156.07,7.2065127612040741,"High risk"
"CUSLN5NHVG2BW9H","Jacob","Miller",541,56877.71,485317.23,8.5326436313979589,"High risk"
"CUSHAB2VRKIO32U","Thomas","Frank",395,12735.30,442467.60,34.7433982709476809,"High risk"
"CUSO6V8VCL8JAI0","Amy","Green",391,51793.46,291652.96,5.6310769738109792,"High risk"
"CUSTNJQ325K5O0U","Mark","Fox",434,20714.27,142363.27,6.8727147999905379,"High risk"
"CUSJJK3OWJ1BWH0","Alicia","Watson",420,61516.47,411253.18,6.6852532338087670,"High risk"
"CUSJBE4Z7L7V7M9","Heidi","Brown",467,96766.84,531126.13,5.4887204129017750,"High risk"
"CUSKMV1PUB4YIMG","Amy","Harris",414,4170.54,151954.28,36.4351570779803095,"High risk"
"CUS5DN4GUQ8W2K8","Alexander","Peterson",527,17382.06,283695.22,16.3211506576320643,"High risk"
"CUSITG8GTZSUQZB","Amy","Morgan",450,17719.13,291328.74,16.4414810433695108,"High risk"
"CUSLFAXA1UV8L8Q","Tiffany","Price",311,8160.79,403666.55,49.4641511422301027,"High risk"
"CUS0HWL3R0X88AI","Kara","Higgins",439,4169.90,30453.90,7.3032686635171107,"High risk"
"CUSXONL3H6Q73Z9","Ashley","Charles",392,18689.74,543696.64,29.0906475959537158,"High risk"
"CUS8ICWA210YD3S","Tyler","Watkins",480,13854.18,184911.96,13.3470158464809899,"High risk"
"CUSY7I0I76ZXM0M","Matthew","Murphy",339,37851.86,262875.72,6.9448560784067150,"High risk"
"CUSGNYIGK7YURMK","Emma","Ross",524,93525.92,496576.82,5.3095101336613422,"High risk"
"CUS7U31JEJAK273","Jason","Hardy",330,16432.98,300935.38,18.3128915145031516,"High risk"
"CUSTUSZE2DVKMXT","Ronnie","Ewing",481,50720.75,311410.84,6.1397128394197641,"High risk"
"CUSJXIZC2DSSD1R","Brandon","Estrada",511,63259.85,341521.73,5.3987122953974757,"High risk"
"CUSUD7P56ESH5SX","Ryan","Patel",387,5313.64,68414.19,12.8752023095279319,"High risk"
"CUSX9S5Q7OQM27G","Rickey","Williams",485,22687.73,139804.01,6.1620977506343737,"High risk"
"CUSJY5C0H8ZEXCL","James","Brown",506,16099.30,149312.46,9.2744690762952427,"High risk"
"CUS0CFS9Q8800QW","Christopher","Reid",512,12745.96,136056.22,10.6744584166277001,"High risk"
"CUSH352M5OI6FTC","Christy","York",387,72674.81,386257.33,5.3148722370240803,"High risk"
"CUS7II8CH4JVEBD","Brandi","White",407,66032.15,345171.24,5.2273209338178448,"High risk"
"CUS9A6QVU6N2H27","Katherine","Carpenter",439,19492.16,201799.13,10.3528357042010737,"High risk"
"CUSEFMIEX6U1L9O","Austin","Anderson",355,22417.32,185154.44,8.2594368996829237,"High risk"
"CUSV1DPDI468WHL","James","Hanson",358,33312.56,253509.21,7.6100188637558927,"High risk"
"CUSUCEI7VARFLMD","Angela","Hill",398,46249.93,567654.60,12.2736315492801827,"High risk"
"CUS6K05TYUSE816","Rose","Guerrero",324,82302.21,578067.72,7.0237205051966405,"High risk"
"CUSW6OTJA9SAV0V","Corey","Rowe",505,45552.24,700581.18,15.3797306125889748,"High risk"
"CUS4AF8JJ32DESI","Carlos","Lee",451,50108.77,301457.48,6.0160622581635909,"High risk"
"CUSJAK3HOW42TCZ","Megan","Foster",429,41104.72,279113.16,6.7902946425617301,"High risk"
"CUSXAJI0Y6DPBHS","Kevin","Young",327,19457.44,470436.99,24.1777433208068482,"High risk"
"CUS6NVUWAZY2SHD","Douglas","Lopez",545,65394.14,353463.05,5.4051181038545656,"High risk"
"CUSWUAZPQLDZYRA","Jennifer","Terry",314,77152.19,766828.72,9.9391698408042597,"High risk"
"CUS4DDJBM3OBNMK","Jessica","Garrett",346,116382.20,582926.27,5.0087235848780999,"High risk"
"CUSKQ15719OV3IQ","Rachel","Hendrix",309,13333.52,415492.40,31.1614937390876528,"High risk"
"CUSP65LCY20UR6Y","Richard","Martinez",483,97007.82,545404.10,5.6222694211662524,"High risk"
"CUSC4WKRGF88U8P","Laura","Porter",416,56835.20,307858.20,5.4166819154326896,"High risk"
"CUSQVIYR3BE8WFQ","John","Barajas",327,9625.59,203994.26,21.1929097333254377,"High risk"
"CUSJKEQW9T5CDDS","Paul","Green",539,6327.24,289563.38,45.7645640121127063,"High risk"
"CUSSAGNZ2FT1MZX","Deborah","Miller",533,16253.77,200741.13,12.3504350067707369,"High risk"
"CUSGVZ4ZOPC2FVS","Wendy","Kelly",304,76002.16,424087.45,5.5799394385633250,"High risk"
"CUSZ62500YYQWIM","Richard","Callahan",511,14662.28,141847.06,9.6742839449253459,"High risk"
"CUSYP2O4SCIDZYC","Jeffrey","Cunningham",354,32080.88,213507.47,6.6552871991042640,"High risk"
"CUS4DLYLDXIVJNX","Craig","Hicks",441,10962.22,262249.92,23.9230666780998739,"High risk"
"CUS0W38XOWCL92A","Kim","Johnson",381,92408.95,521578.51,5.6442423596415715,"High risk"
"CUSJRVIO6QSNDDC","Deborah","Soto",433,57409.89,609308.42,10.6133006002972659,"High risk"
"CUSXMV77TSJM4SQ","Cassidy","Austin",477,13783.21,297743.53,21.6019004281295866,"High risk"
"CUSXIF3JEM5WI1R","Richard","Zimmerman",479,25889.67,258716.21,9.9930284936038196,"High risk"
"CUSFDZEACA5B3GG","Madeline","Russell",439,27854.04,210024.37,7.5401762186024002,"High risk"
"CUSTT72FE05XQIJ","Christopher","Wade",325,39558.36,256008.42,6.4716641438118264,"High risk"
"CUST6HD7VZ5FFSD","Randall","Smith",443,34091.45,196777.73,5.7720551633914075,"High risk"
"CUSD4AYDE8BHK0I","Donald","Thomas",458,46621.82,261765.80,5.6146628338404635,"High risk"
"CUSFZPVHMMR0ZPA","Ryan","Anderson",498,9165.87,493616.21,53.8537214688840230,"High risk"
"CUSUF205ZYZAG04","James","Smith",499,4723.89,423335.70,89.6159097692791322,"High risk"
"CUSYTD959M3IANV","Briana","Obrien",415,5184.80,26370.47,5.0861113254127449,"High risk"
"CUS9EWOE8FF9KUQ","Jason","Buchanan",345,98041.75,532238.64,5.4286937962653665,"High risk"
"CUSFHM80YA4FFSH","Erik","Cross",449,6102.94,186928.13,30.6291934706878980,"High risk"
"CUSTY34APZ3KWO4","Hayley","Gray",361,4320.72,120786.26,27.9551232202040401,"High risk"
"CUSPOEOJJ6LW2Z8","Heather","Wallace",546,46517.18,237492.60,5.1054814586782776,"High risk"
"CUS9993SDYPADKF","William","Martinez",480,23338.51,231228.43,9.9075917871363682,"High risk"
"CUS1PE1GXRD0KXD","Valerie","Jones",451,31913.28,510669.32,16.0017810767179055,"High risk"
"CUS9BCAPFLXS1HZ","Peter","Martinez",344,14495.10,121764.59,8.4003966857765728,"High risk"
"CUS1HJR6EET0DY5","Kendra","Melton",366,50327.98,506212.91,10.0582799071212475,"High risk"
"CUSA33MDNZD9RC2","Andrea","Smith",481,21464.13,269934.55,12.5760769246179556,"High risk"
"CUSA0ZWAC093PAR","Gregory","Moody",392,38733.30,206890.79,5.3414191406360935,"High risk"
"CUS9T3LU50EB8D2","Andrew","Gordon",312,24836.87,273119.51,10.9965349901175148,"High risk"
"CUSDSAS53V4IW2K","Nicholas","Martin",522,4149.02,161034.17,38.8125798381304501,"High risk"
